
Balance de criminalidad. 2024 - 2� Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 2� Trimestre por geograf�a, tipolog�a  penal y periodos.
Unidades: Hechos conocidos. Variaci�n porcentual

,enero-junio 2024,
ANDALUC�A,
    1. Homicidios dolosos y asesinatos consumados,50.0,
Provincia de ALMER�A,
    1. Homicidios dolosos y asesinatos consumados,7.0,
04003 Adra,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04013 Almer�a,
    1. Homicidios dolosos y asesinatos consumados,2.0,
04902 Ejido (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
04053 Hu�rcal-Overa,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04066 N�jar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04079 Roquetas de Mar,
    1. Homicidios dolosos y asesinatos consumados,2.0,
04102 V�car,
    1. Homicidios dolosos y asesinatos consumados,1.0,
Provincia de C�DIZ,
    1. Homicidios dolosos y asesinatos consumados,12.0,
11004 Algeciras,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11006 Arcos de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11007 Barbate,
    1. Homicidios dolosos y asesinatos consumados,2.0,
11008 Barrios (Los),
    1. Homicidios dolosos y asesinatos consumados,0.0,
11012 C�diz,
    1. Homicidios dolosos y asesinatos consumados,1.0,
11015 Chiclana de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11014 Conil de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11020 Jerez de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,1.0,
11022 L�nea de la Concepci�n (La),
    1. Homicidios dolosos y asesinatos consumados,0.0,
11027 Puerto de Santa Mar�a (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
11028 Puerto Real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11030 Rota,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11031 San Fernando,
    1. Homicidios dolosos y asesinatos consumados,6.0,
11033 San Roque,
    1. Homicidios dolosos y asesinatos consumados,1.0,
11032 Sanl�car de Barrameda,
    1. Homicidios dolosos y asesinatos consumados,1.0,
Provincia de C�RDOBA,
    1. Homicidios dolosos y asesinatos consumados,4.0,
14013 Cabra,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14021 C�rdoba,
    1. Homicidios dolosos y asesinatos consumados,3.0,
14038 Lucena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14042 Montilla,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14049 Palma del R�o,
    1. Homicidios dolosos y asesinatos consumados,1.0,
14055 Priego de C�rdoba,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14056 Puente Genil,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de GRANADA,
    1. Homicidios dolosos y asesinatos consumados,6.0,
18017 Almu��car,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18021 Armilla,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18022 Atarfe,
    1. Homicidios dolosos y asesinatos consumados,1.0,
18023 Baza,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18905 Gabias (Las),
    1. Homicidios dolosos y asesinatos consumados,0.0,
18087 Granada,
    1. Homicidios dolosos y asesinatos consumados,2.0,
18122 Loja,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18127 Maracena,
    1. Homicidios dolosos y asesinatos consumados,0.0,
18140 Motril,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de HUELVA,
    1. Homicidios dolosos y asesinatos consumados,1.0,
21002 Aljaraque,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21005 Almonte,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21010 Ayamonte,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21021 Cartaya,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21041 Huelva,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21042 Isla Cristina,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21044 Lepe,
    1. Homicidios dolosos y asesinatos consumados,0.0,
21050 Moguer,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de JA�N,
    1. Homicidios dolosos y asesinatos consumados,2.0,
23002 Alcal� la Real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23005 And�jar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23050 Ja�n,
    1. Homicidios dolosos y asesinatos consumados,1.0,
23055 Linares,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23060 Martos,
    1. Homicidios dolosos y asesinatos consumados,0.0,
23092 �beda,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de M�LAGA,
    1. Homicidios dolosos y asesinatos consumados,11.0,
29007 Alhaur�n de la Torre,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29008 Alhaur�n el Grande,
    1. Homicidios dolosos y asesinatos consumados,1.0,
29015 Antequera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
29025 Benalm�dena,
