
Balance de criminalidad. 2024 - 2º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 2º Trimestre por geografía, tipología  penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,Variación % 2024/2023,
ANDALUCÍA,
    1. Homicidios dolosos y asesinatos consumados,16.3,
Provincia de ALMERÍA,
    1. Homicidios dolosos y asesinatos consumados,250.0,
04003 Adra,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04013 Almería,
    1. Homicidios dolosos y asesinatos consumados,100.0,
04902 Ejido (El),
    1. Homicidios dolosos y asesinatos consumados,0.0,
04053 Huércal-Overa,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04066 Níjar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
04079 Roquetas de Mar,
    1. Homicidios dolosos y asesinatos consumados,100.0,
04102 Vícar,
    1. Homicidios dolosos y asesinatos consumados,0.0,
Provincia de CÁDIZ,
    1. Homicidios dolosos y asesinatos consumados,50.0,
11004 Algeciras,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
11006 Arcos de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11007 Barbate,
    1. Homicidios dolosos y asesinatos consumados,100.0,
11008 Barrios (Los),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
11012 Cádiz,
    1. Homicidios dolosos y asesinatos consumados,100.0,
11015 Chiclana de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,-100.0,
11014 Conil de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11020 Jerez de la Frontera,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11022 Línea de la Concepción (La),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
11027 Puerto de Santa María (El),
    1. Homicidios dolosos y asesinatos consumados,-100.0,
11028 Puerto Real,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11030 Rota,
    1. Homicidios dolosos y asesinatos consumados,0.0,
11031 San Fernando,
    1. Homicidios dolosos y asesinatos consumados,100.0,
11033 San Roque,
    1. Homicidios dolosos y asesinatos consumados,100.0,
11032 Sanlúcar de Barrameda,
    1. Homicidios dolosos y asesinatos consumados,100.0,
Provincia de CÓRDOBA,
    1. Homicidios dolosos y asesinatos consumados,300.0,
14013 Cabra,
    1. Homicidios dolosos y asesinatos consumados,0.0,
14021 Córdoba,
